industry,number_employed
Agriculture and related,108972.22222222222
Construction,481641.41414141416
Durable goods,435537.8787878788
Education and health services,1556002.5252525252
Financial activities,473459.595959596
Information,127699.49494949495
Leisure and hospitality,615623.7373737374
Manufacturing,690123.7373737374
"Mining, quarrying, and
oil and gas extraction",34363.63636363636
"Mining, quarrying, and oil and gas extraction",35253.78787878788
Nondurable goods,254603.53535353535
Other services,330916.6666666667
"Other services, except private households",297747.4747474748
Private households,33083.333333333336
Professional and business services,839505.0505050505
Public administration,321411.61616161617
Retail trade,735732.3232323233
Transportation and utilities,374568.1818181818
Wholesale and retail trade,896830.808080808
Wholesale trade,161063.1313131313
